content,score,sentiment_polarity,sentiment_subjective,sentiment_rating,tweet_without_stopwords,wordCount,wordCount_after_stopwords,tweet_stemmed
"dengan adanya aplikasi ovo, memudahkan kita untuk bertransaksi untuk keperluan apa saja yang kita inginkan... 🙏🙏",5,0.0,0.0,Positive,"aplikasi ovo, memudahkan bertransaksi keperluan inginkan... 🙏🙏",16,7,aplikasi ovo mudah transaksi perlu ingin
mantap,5,0.0,0.0,Positive,mantap,1,1,mantap
saya ga bisa ganti nomor ponsel yang sudah hilangg,2,0.0,0.0,Negative,ganti nomor ponsel hilangg,9,4,ganti nomor ponsel hilangg
"appk ruwet,mau masuk aja ribet dah dapet code masih salah trs jgn pd dondlod dri pd nyesel ntar bener"" ribet app ini.",1,0.0,0.0,Negative,"appk ruwet,mau masuk ribet dah dapet code salah trs jgn pd dondlod dri pd nyesel ntar bener"" ribet app ini.",22,20,appk ruwet mau masuk ribet dah dapet code salah trs jgn pd dondlod dri pd nyesel ntar bener ribet app ini
lumayanlah,4,0.0,0.0,Positive,lumayanlah,1,1,lumayan
sering error,1,0.0,0.0,Negative,error,2,1,error
oke,5,0.0,0.0,Positive,oke,1,1,oke
bagus,5,0.0,0.0,Positive,bagus,1,1,bagus
"ganti akun baru, mau upgrade ke premiere di persulit, balik akun lama di bilang sdh terdaftar. klo nomor tlp tetap dan ktp tetap wajah tetap harusnya bisa. kok gagal terus !!!",2,0.0,0.0,Negative,"ganti akun baru, upgrade premiere persulit, akun bilang sdh terdaftar. klo nomor tlp ktp wajah bisa. gagal !!!",31,18,ganti akun baru upgrade premiere sulit akun bilang sdh daftar klo nomor tlp ktp wajah bisa gagal
bukabokiran ovo,5,0.0,0.0,Positive,bukabokiran ovo,2,2,bukabokiran ovo
payah! isi saldo dari bank dan di minimarket terkena biaya admin harusnya gratis seperti gopay dan shopeepay.,1,0.0,0.0,Negative,payah! isi saldo bank minimarket terkena biaya admin gratis gopay shopeepay.,17,11,payah isi saldo bank minimarket kena biaya admin gratis gopay shopeepay
best,5,1.0,0.3,Positive,best,1,1,best
"selalu eror, pembayaran gagal mulu , dikit dikit eror dikit dikit eror",1,0.0,0.0,Negative,"eror, pembayaran gagal mulu , dikit dikit eror dikit dikit eror",12,11,eror bayar gagal mulu dikit dikit eror dikit dikit eror
"jan ada pakai aplikasi ovo refutasinya jelek banget... lemot,lelet gak jelas.",1,0.0,0.0,Negative,"jan pakai aplikasi ovo refutasinya jelek banget... lemot,lelet jelas.",11,9,jan pakai aplikasi ovo refutasinya jelek banget lot lelet jelas
"masih belum bisa menghapus akun ovo yg lama ,",3,0.0,0.0,Neutral,"menghapus akun ovo ,",9,4,hapus akun ovo
ok bgt,5,0.5,0.5,Positive,ok bgt,2,2,ok bgt
saldo saya ke potong 250rb apakah bisa di kembalikan,5,0.0,0.0,Positive,saldo potong 250rb kembalikan,9,4,saldo potong 250rb kembali
"tidak bisa di gunakan, eror terus.. payaah",1,0.0,0.0,Negative,"gunakan, eror terus.. payaah",7,4,guna eror terus payaah
"aplikasi dompet gk layak di download pokonya pasti ngeselin, jangan di download pasti nyesel",1,0.0,0.0,Negative,"aplikasi dompet gk layak download pokonya ngeselin, download nyesel",14,9,aplikasi dompet gk layak download poko ngeselin download nyesel
aplikasi ribet ketika tutup akun dan mau bikin lagi dengan akun dan nomor baru susahnya minta ampun sampai sekarang ga bisa upgrade ga profesional,1,0.0,0.0,Negative,aplikasi ribet tutup akun bikin akun nomor susahnya ampun upgrade profesional,24,11,aplikasi ribet tutup akun bikin akun nomor susah ampun upgrade profesional
semuanya di arahkan download superbank transfer gratis 200 kali. kalo sdg perbaikan tolong kasi info edukasi. klo bs apk nya jd satu aja kaya gopay. jgn ada aplikasi sndri sndri.,5,0.0,0.0,Positive,arahkan download superbank transfer gratis 200 kali. kalo sdg perbaikan tolong kasi info edukasi. klo bs apk nya jd kaya gopay. jgn aplikasi sndri sndri.,30,25,arah download superbank transfer gratis 200 kali kalo sdg baik tolong kasi info edukasi klo bs apk nya jd kaya gopay jgn aplikasi sndri sndri
aplikasi sangat buruk,1,0.0,0.0,Negative,aplikasi buruk,3,2,aplikasi buruk
sangat membantu,5,0.0,0.0,Positive,membantu,2,1,bantu
baru selesai update akun langsung di blokir sangat menyesal,1,0.0,0.0,Negative,selesai update akun langsung blokir menyesal,9,6,selesai update akun langsung blokir sesal
bagus,5,0.0,0.0,Positive,bagus,1,1,bagus
"saat dibutuhkan selalu error, gabisa dibuka, transaksi gagal. payah",2,0.0,0.0,Negative,"dibutuhkan error, gabisa dibuka, transaksi gagal. payah",9,7,butuh error gabisa buka transaksi gagal payah
minta kode otp di kasih situs link judol anjink saya ga bisa akses ovo,1,0.0,0.0,Negative,kode otp kasih situs link judol anjink akses ovo,14,9,kode otp kasih situs link judol anjink akses ovo
"plis segera benerin aplikasi nyah , nomer lama saya hilang, saya mau ganti nomer baru udah verifikasi lewat e-mail tapi gangguan terus,.",1,0.0,0.0,Negative,"plis benerin aplikasi nyah , nomer hilang, ganti nomer udah verifikasi e-mail gangguan terus,.",22,14,plis benerin aplikasi nyah nomer hilang ganti nomer udah verifikasi e-mail ganggu terus
biaya ny mahal,5,0.0,0.0,Positive,biaya ny mahal,3,3,biaya ny mahal
kenapa saya gak bisa regestrasi ovo,4,0.0,0.0,Positive,regestrasi ovo,6,2,regestrasi ovo
"aneh akun saya asal nya udah premier jadi harus upgrade lagi , tolong di cek dan bantu lagi",2,0.0,0.0,Negative,"aneh akun nya udah premier upgrade , tolong cek bantu",18,10,aneh akun nya udah premier upgrade tolong cek bantu
mantap,5,0.0,0.0,Positive,mantap,1,1,mantap
hari ini tnggal 6 maret saldo ovo cash ku hilng bgtu sj sbsr 83rb,1,0.0,0.0,Negative,tnggal 6 maret saldo ovo cash ku hilng bgtu sj sbsr 83rb,14,12,tnggal 6 maret saldo ovo cash ku hilng bgtu sj sbsr 83rb
klo gopay transfer 1 rp aja bs masuk ovo minim 10k,1,0.0,0.0,Negative,klo gopay transfer 1 rp bs masuk ovo minim 10k,11,10,klo gopay transfer 1 rp bs masuk ovo minim 10k
"aplikasi gak jelas, mau verikasi tapi kode otp atau kode verifikasi selalu gagal",1,0.0,0.0,Negative,"aplikasi jelas, verikasi kode otp kode verifikasi gagal",13,8,aplikasi jelas verikasi kode otp kode verifikasi gagal
"ya allah, kasih pinjaman yg besar. nyicilnya sak mati ne",1,0.0,0.0,Negative,"ya allah, kasih pinjaman besar. nyicilnya sak mati ne",10,9,ya allah kasih pinjam besar nyicilnya sak mati ne
"app busuk mending gopay... sering eror, mau transaksi aja susah,",1,0.0,0.0,Negative,"app busuk mending gopay... eror, transaksi susah,",10,7,app busuk mending gopay eror transaksi susah
buruk login ajah susah banget dan admin nya mahal masalah nya login doang susah banget sangat buruk error di kirim uang masa gak masuk-masuk tuh uang error mulu jadi saya terpaksa kasih bintang 1,1,0.0,0.0,Negative,buruk login ajah susah banget admin nya mahal nya login doang susah banget buruk error kirim uang masuk-masuk tuh uang error mulu terpaksa kasih bintang 1,34,26,buruk login ajah susah banget admin nya mahal nya login doang susah banget buruk error kirim uang masuk tuh uang error mulu paksa kasih bintang 1
ovo sekarang2 ini bahaya punya saldo tau tau ilang waduh gawat nih,1,0.0,0.0,Negative,ovo sekarang2 bahaya saldo tau tau ilang gawat nih,12,9,ovo sekarang2 bahaya saldo tau tau ilang gawat nih
buruk elor trus,1,0.0,0.0,Negative,buruk elor trus,3,3,buruk elor trus
kebanyakan admin,1,0.0,0.0,Negative,kebanyakan admin,2,2,banyak admin
tidak ada pinjaman hp juga tidak ovo indonesia kota jambi aplikasi miskin ya bosque 🌟,1,0.0,0.0,Negative,pinjaman hp ovo indonesia kota jambi aplikasi miskin ya bosque 🌟,15,11,pinjam hp ovo indonesia kota jambi aplikasi miskin ya bosque
"mau ganti no krna no yg tertaut terblokir, eh malah gagal trus, padahal udh verify email masih gagal juga, gajelas bngt. seneng bngt nelenin duit customer, klo duit gue yg nyangkut di ovo ga balik, sumpah gue ga ikhlas.",1,0.0,0.0,Negative,"ganti no krna no tertaut terblokir, eh gagal trus, udh verify email gagal juga, gajelas bngt. seneng bngt nelenin duit customer, klo duit gue nyangkut ovo balik, sumpah gue ikhlas.",39,30,ganti no krna no taut blokir eh gagal trus udh verify email gagal juga gajelas bngt neng bngt nelenin duit customer klo duit gue nyangkut ovo balik sumpah gue ikhlas
"ovo mempemudahkan transaksinya .. namun sekarang mau top up aja sdh ga bisa. mau dari banking atau atm...sampai semalam,,, mau top up tdk bisa....",3,0.5,0.5,Neutral,"ovo mempemudahkan transaksinya .. top up sdh bisa. banking atm...sampai semalam,,, top up tdk bisa....",24,15,ovo mudah transaksi top up sdh bisa banking atm sampai malam top up tdk bisa
kasihan orang yang mau tf uang atau ambil uang 😭😭😭,1,0.0,0.0,Negative,kasihan orang tf uang ambil uang 😭😭😭,10,7,kasihan orang tf uang ambil uang
pakai ovo terasa lebih mudah dan aman.,5,0.0,0.0,Positive,pakai ovo mudah aman.,7,4,pakai ovo mudah aman
pernah nyoba. tranfer nya kena admin kcuali ke sesama ovo. sampe skarang msih stia sm gopay simple transfer gratis tis tis tis,2,0.0,0.35714285714285715,Negative,nyoba. tranfer nya kena admin kcuali ovo. sampe skarang msih stia sm gopay simple transfer gratis tis tis tis,22,19,nyoba tranfer nya kena admin kcuali ovo sampe skarang msih stia sm gopay simple transfer gratis tis tis tis
keterangan blnja alfagift sekian dpt cashback 30 rb giliran sdh blnja 445 rb an malahn keterangan promo sdh habis. tahu gitu tadinya blnja bayar gopay aja yg jelas voucher masih nggk nya. anjiirrr bgt ovo berasa di prank,1,0.0,0.0,Negative,keterangan blnja alfagift sekian dpt cashback 30 rb giliran sdh blnja 445 rb an malahn keterangan promo sdh habis. gitu blnja bayar gopay voucher nggk nya. anjiirrr bgt ovo berasa prank,38,31,terang blnja alfagift sekian dpt cashback 30 rb gilir sdh blnja 445 rb an malahn terang promo sdh habis gitu blnja bayar gopay voucher nggk nya anjiirrr bgt ovo asa prank
setiap pembayaran lancar tidak ada kendala..,5,0.0,0.0,Positive,pembayaran lancar kendala..,6,3,bayar lancar kendala
proses qris,5,0.0,0.0,Positive,proses qris,2,2,proses qris
"tolong bantu saya transfer ke rekening bank koq belum masuk,, sedangkan saldo dalam apk ovo sudah berkurang",1,0.0,0.0,Negative,"tolong bantu transfer rekening bank koq masuk,, saldo apk ovo berkurang",17,11,tolong bantu transfer rekening bank koq masuk saldo apk ovo kurang
good,5,0.7,0.6000000000000001,Positive,good,1,1,good
siip👍,5,0.0,0.0,Positive,siip👍,1,1,siip
knpa akun gw bsa ke club lagi dri premium???,1,0.0,0.0,Negative,knpa akun gw bsa club dri premium???,9,7,knpa akun gw bsa club dri premium
"kurang nya kejelasan dari apk ini jika ada kendala, mohon untuk diperbaiki masalah teknis nya",1,0.0,0.0,Negative,"nya kejelasan apk kendala, mohon diperbaiki teknis nya",15,8,nya jelas apk kendala mohon baik teknis nya
"hati2 apk maling,keamanan sangat buruk,uang sering pindah sendiri,mending pakai ewallet yg lain saja parah ini apk",1,0.0,0.0,Negative,"hati2 apk maling,keamanan buruk,uang pindah sendiri,mending pakai ewallet parah apk",16,10,hati2 apk maling aman buruk uang pindah sendiri mending pakai ewallet parah apk
saldo kepotong,1,0.0,0.0,Negative,saldo kepotong,2,2,saldo potong
miskin amat terlalu membebani pelanggan ke gedean potongan nya apl terlalu banyak nyari untung,1,0.0,0.0,Negative,miskin membebani pelanggan gedean potongan nya apl nyari untung,14,9,miskin beban langgan gede potong nya apl nyari untung
"terlalu sulit mengubah alamat email ,tidsk kaya apalikasi sebelah hanya nomer hp sudah selesai",1,0.0,0.0,Negative,"sulit mengubah alamat email ,tidsk kaya apalikasi sebelah nomer hp selesai",14,11,sulit ubah alamat email tidsk kaya apalikasi belah nomer hp selesai
mantap,5,0.0,0.0,Positive,mantap,1,1,mantap
aplikasi ribet,1,0.0,0.0,Negative,aplikasi ribet,2,2,aplikasi ribet
sukses terus ovo,5,0.0,0.0,Positive,sukses ovo,3,2,sukses ovo
aplikasi paling busuk gagal memproses truss,1,0.0,0.0,Negative,aplikasi busuk gagal memproses truss,6,5,aplikasi busuk gagal proses truss
"biaya adminnya mahal bgt gila, mending pakai e wallet lain.",1,0.0,0.0,Negative,"biaya adminnya mahal bgt gila, mending pakai e wallet lain.",10,10,biaya adminnya mahal bgt gila mending pakai e wallet lain
"mantap, jangan sering eror min....😁",4,0.0,0.0,Positive,"mantap, eror min....😁",5,3,mantap eror min
knp sellu gagal verifikasi ubah no tlp apk dri dlu bgni,1,0.0,0.0,Negative,knp sellu gagal verifikasi ubah no tlp apk dri dlu bgni,11,11,knp sellu gagal verifikasi ubah no tlp apk dri dlu bgni
sejak ovo nglink superbank ovo saya pas error tidak bisa dipakai. verifikasi gak bisa,1,0.0,0.0,Negative,ovo nglink superbank ovo pas error dipakai. verifikasi,14,8,ovo nglink superbank ovo pas error pakai verifikasi
jelek banyak gangguan trus klw tarik di indomaret banyak alasan kaga bisa. payah..👎 transfer ke bank lama..,2,0.0,0.0,Negative,jelek gangguan trus klw tarik indomaret alasan kaga bisa. payah..👎 transfer bank lama..,17,13,jelek ganggu trus klw tarik indomaret alas kaga bisa payah transfer bank lama
👍👍👍👍👍🙏🙏🙏,5,0.0,0.0,Positive,👍👍👍👍👍🙏🙏🙏,1,1,
rajin bgt minta uodate dah 😭,4,0.0,0.0,Positive,rajin bgt uodate dah 😭,6,5,rajin bgt uodate dah
mantaplh,5,0.0,0.0,Positive,mantaplh,1,1,mantaplh
sangat membantu,5,0.0,0.0,Positive,membantu,2,1,bantu
kebanyakan kendala susah,1,0.0,0.0,Negative,kebanyakan kendala susah,3,3,banyak kendala susah
alahamdulila gak perna ada kendala,5,0.0,0.0,Positive,alahamdulila perna kendala,5,3,alahamdulila perna kendala
bagus apk nya daptar jg mudah + sekarang udah bisa nyatu sama superbank bikin nabung lebih aman 😙 amanah selalu buat ovo dan superbank🥰,5,0.0,0.0,Positive,bagus apk nya daptar jg mudah + udah nyatu superbank bikin nabung aman 😙 amanah ovo superbank🥰,24,17,bagus apk nya daptar jg mudah udah nyatu superbank bikin nabung aman amanah ovo superbank
"no hp hangus, mau ganti no ga bisa² pdal ada saldo di dlmnya, tolong aplikasi di tindak lanjuti bagai mna cara menggantikan no hp yg sudah hangus",1,0.0,0.0,Negative,"no hp hangus, ganti no bisa² pdal saldo dlmnya, tolong aplikasi tindak lanjuti mna menggantikan no hp hangus",27,18,no hp hangus ganti no bisa pdal saldo dlmnya tolong aplikasi tindak lanjut mna ganti no hp hangus
aplikasi lemottttt transaksi ajaa lamaaa loading terusssss,2,0.0,0.0,Negative,aplikasi lemottttt transaksi ajaa lamaaa loading terusssss,7,7,aplikasi lemottttt transaksi ajaa lamaaa loading terusssss
ovo semakin lama makin tidak karuan saldo tiba² hilang sendiri padahal lumayan juga nominalnya bagi saya malahan sering upgrade tidak bagus menurut saya,1,0.0,0.0,Negative,ovo karuan saldo tiba² hilang lumayan nominalnya upgrade bagus,23,9,ovo karuan saldo tiba hilang lumayan nominal upgrade bagus
aplikasi jelek bangat,1,0.0,0.0,Negative,aplikasi jelek bangat,3,3,aplikasi jelek bangat
"ribet hrs upgrade ke ovo premier....mending upgrade ovo premier nya gampang...ini mah susah hrs ke kantor ovo. ribet dah pokoknya. aplikasi ovo gw bertahan msh ada krn terpaksa karna aplikasi grab, klo gak krn grab..... gak akan gw download",1,0.0,0.0,Negative,"ribet hrs upgrade ovo premier....mending upgrade ovo premier nya gampang...ini mah susah hrs kantor ovo. ribet dah pokoknya. aplikasi ovo gw bertahan msh krn terpaksa karna aplikasi grab, klo krn grab..... gw download",39,33,ribet hrs upgrade ovo premier mending upgrade ovo premier nya gampang ini mah susah hrs kantor ovo ribet dah pokok aplikasi ovo gw tahan msh krn paksa karna aplikasi grab klo krn grab gw download
saldo dalam proses dari siang. kalo emang gak terkitim gagal kan aja lah. repot amat ni aplikasi,1,0.0,0.0,Negative,saldo proses siang. kalo emang terkitim gagal lah. repot ni aplikasi,17,11,saldo proses siang kalo emang terkitim gagal lah repot ni aplikasi
gara-gara ovo ga bisa di upgrade lo ovo primer dana transfer ga bisa masuk pusat bantuan lewat email ga nyambung mending pikir lagi aja kalau mau pake ovo,1,0.0,0.0,Negative,gara-gara ovo upgrade lo ovo primer dana transfer masuk pusat bantuan email nyambung mending pikir pake ovo,28,17,gara-gara ovo upgrade lo ovo primer dana transfer masuk pusat bantu email nyambung mending pikir pake ovo
"info di awal ada promo, sudah transaksi kuota habis, gini banget caranya vo, dmna-mana klo voucher sudah habis langsung info di awal",1,0.0,0.0,Negative,"info promo, transaksi kuota habis, gini banget vo, dmna-mana klo voucher habis langsung info",22,14,info promo transaksi kuota habis gin banget vo dmna-mana klo voucher habis langsung info
tidak bisa login padahal password ya bener apk gak jelas,1,0.0,0.0,Negative,login password ya bener apk,10,5,login password ya bener apk
